=== PREPOST+ - FREQUENT PATTERN MINING ===
File dữ liệu: inputITtree.txt
Minsup tuyệt đối: 0 (dựa trên 12 giao dịch)
Minsup tương đối: 0.0%
Thời gian bắt đầu: Thu May 29 23:12:56 ICT 2025

========== TẤT CẢ CÁC ITEMSET THƯỜNG XUYÊN VỚI MINSUP >= 0 ==========
[1]                            support: 7
[9]                            support: 6
[3]                            support: 5
[2]                            support: 5
[11]                           support: 4
[11 9]                         support: 4
[3 1]                          support: 4
[6]                            support: 3
[6 3]                          support: 3
[6 1]                          support: 3
[6 3 1]                        support: 3
[4]                            support: 3
[4 1]                          support: 3
[2 1]                          support: 3
[7]                            support: 2
[7 4]                          support: 2
[7 1]                          support: 2
[7 4 1]                        support: 2
[5]                            support: 2
[5 1]                          support: 2
[6 4]                          support: 2
[6 4 3]                        support: 2
[6 4 1]                        support: 2
[6 4 3 1]                      support: 2
[4 3]                          support: 2
[4 3 1]                        support: 2
[4 2]                          support: 2
[4 2 1]                        support: 2
[11 2]                         support: 2
[11 2 9]                       support: 2
[3 2]                          support: 2
[2 9]                          support: 2
[13]                           support: 1
[13 11]                        support: 1
[13 3]                         support: 1
[13 11 3]                      support: 1
[13 2]                         support: 1
[13 11 2]                      support: 1
[13 3 2]                       support: 1
[13 11 3 2]                    support: 1
[13 9]                         support: 1
[13 11 9]                      support: 1
[13 3 9]                       support: 1
[13 11 3 9]                    support: 1
[13 2 9]                       support: 1
[13 11 2 9]                    support: 1
[13 3 2 9]                     support: 1
[13 11 3 2 9]                  support: 1
[12]                           support: 1
[12 9]                         support: 1
[10]                           support: 1
[10 11]                        support: 1
[10 9]                         support: 1
[10 11 9]                      support: 1
[8]                            support: 1
[8 5]                          support: 1
[8 2]                          support: 1
[8 5 2]                        support: 1
[8 1]                          support: 1
[8 5 1]                        support: 1
[8 2 1]                        support: 1
[8 5 2 1]                      support: 1
[7 6]                          support: 1
[7 6 4]                        support: 1
[7 6 1]                        support: 1
[7 6 4 1]                      support: 1
[7 6 3]                        support: 1
[7 6 4 3]                      support: 1
[7 6 1 3]                      support: 1
[7 6 4 1 3]                    support: 1
[7 3]                          support: 1
[7 3 4]                        support: 1
[7 3 1]                        support: 1
[7 3 4 1]                      support: 1
[7 2]                          support: 1
[7 2 4]                        support: 1
[7 2 1]                        support: 1
[7 2 4 1]                      support: 1
[5 6]                          support: 1
[5 6 1]                        support: 1
[5 6 3]                        support: 1
[5 6 1 3]                      support: 1
[5 3]                          support: 1
[5 3 1]                        support: 1
[5 2]                          support: 1
[5 2 1]                        support: 1
[6 4 2]                        support: 1
[6 4 2 3]                      support: 1
[6 4 2 1]                      support: 1
[6 4 2 3 1]                    support: 1
[6 2]                          support: 1
[6 2 3]                        support: 1
[6 2 1]                        support: 1
[6 2 3 1]                      support: 1
[4 3 2]                        support: 1
[4 3 2 1]                      support: 1
[11 3]                         support: 1
[11 3 9]                       support: 1
[11 3 2]                       support: 1
[11 3 9 2]                     support: 1
[11 1]                         support: 1
[11 1 9]                       support: 1
[3 2 9]                        support: 1
[3 2 1]                        support: 1
[3 9]                          support: 1
[9 1]                          support: 1
[13 12]                        support: 0
[13 12 11]                     support: 0
[13 12 3]                      support: 0
[13 12 11 3]                   support: 0
[13 12 2]                      support: 0
[13 12 11 2]                   support: 0
[13 12 3 2]                    support: 0
[13 12 11 3 2]                 support: 0
[13 12 9]                      support: 0
[13 12 11 9]                   support: 0
[13 12 3 9]                    support: 0
[13 12 11 3 9]                 support: 0
[13 12 2 9]                    support: 0
[13 12 11 2 9]                 support: 0
[13 12 3 2 9]                  support: 0
[13 12 11 3 2 9]               support: 0
[13 12 10]                     support: 0
[13 12 11 10]                  support: 0
[13 12 3 10]                   support: 0
[13 12 11 3 10]                support: 0
[13 12 2 10]                   support: 0
[13 12 11 2 10]                support: 0
[13 12 3 2 10]                 support: 0
[13 12 11 3 2 10]              support: 0
[13 12 9 10]                   support: 0
[13 12 11 9 10]                support: 0
[13 12 3 9 10]                 support: 0
[13 12 11 3 9 10]              support: 0
[13 12 2 9 10]                 support: 0
[13 12 11 2 9 10]              support: 0
[13 12 3 2 9 10]               support: 0
[13 12 11 3 2 9 10]            support: 0
[13 12 8]                      support: 0
[13 12 11 8]                   support: 0
[13 12 3 8]                    support: 0
[13 12 11 3 8]                 support: 0
[13 12 2 8]                    support: 0
[13 12 11 2 8]                 support: 0
[13 12 3 2 8]                  support: 0
[13 12 11 3 2 8]               support: 0
[13 12 9 8]                    support: 0
[13 12 11 9 8]                 support: 0
[13 12 3 9 8]                  support: 0
[13 12 11 3 9 8]               support: 0
[13 12 2 9 8]                  support: 0
[13 12 11 2 9 8]               support: 0
[13 12 3 2 9 8]                support: 0
[13 12 11 3 2 9 8]             support: 0
[13 12 10 8]                   support: 0
[13 12 11 10 8]                support: 0
[13 12 3 10 8]                 support: 0
[13 12 11 3 10 8]              support: 0
[13 12 2 10 8]                 support: 0
[13 12 11 2 10 8]              support: 0
[13 12 3 2 10 8]               support: 0
[13 12 11 3 2 10 8]            support: 0
[13 12 9 10 8]                 support: 0
[13 12 11 9 10 8]              support: 0
[13 12 3 9 10 8]               support: 0
[13 12 11 3 9 10 8]            support: 0
[13 12 2 9 10 8]               support: 0
[13 12 11 2 9 10 8]            support: 0
[13 12 3 2 9 10 8]             support: 0
[13 12 11 3 2 9 10 8]          support: 0
[13 12 7]                      support: 0
[13 12 11 7]                   support: 0
[13 12 3 7]                    support: 0
[13 12 11 3 7]                 support: 0
[13 12 2 7]                    support: 0
[13 12 11 2 7]                 support: 0
[13 12 3 2 7]                  support: 0
[13 12 11 3 2 7]               support: 0
[13 12 9 7]                    support: 0
[13 12 11 9 7]                 support: 0
[13 12 3 9 7]                  support: 0
[13 12 11 3 9 7]               support: 0
[13 12 2 9 7]                  support: 0
[13 12 11 2 9 7]               support: 0
[13 12 3 2 9 7]                support: 0
[13 12 11 3 2 9 7]             support: 0
[13 12 10 7]                   support: 0
[13 12 11 10 7]                support: 0
[13 12 3 10 7]                 support: 0
[13 12 11 3 10 7]              support: 0
[13 12 2 10 7]                 support: 0
[13 12 11 2 10 7]              support: 0
[13 12 3 2 10 7]               support: 0
[13 12 11 3 2 10 7]            support: 0
[13 12 9 10 7]                 support: 0
[13 12 11 9 10 7]              support: 0
[13 12 3 9 10 7]               support: 0
[13 12 11 3 9 10 7]            support: 0
[13 12 2 9 10 7]               support: 0
[13 12 11 2 9 10 7]            support: 0
[13 12 3 2 9 10 7]             support: 0
[13 12 11 3 2 9 10 7]          support: 0
[13 12 8 7]                    support: 0
[13 12 11 8 7]                 support: 0
[13 12 3 8 7]                  support: 0
[13 12 11 3 8 7]               support: 0
[13 12 2 8 7]                  support: 0
[13 12 11 2 8 7]               support: 0
[13 12 3 2 8 7]                support: 0
[13 12 11 3 2 8 7]             support: 0
[13 12 9 8 7]                  support: 0
[13 12 11 9 8 7]               support: 0
[13 12 3 9 8 7]                support: 0
[13 12 11 3 9 8 7]             support: 0
[13 12 2 9 8 7]                support: 0
[13 12 11 2 9 8 7]             support: 0
[13 12 3 2 9 8 7]              support: 0
[13 12 11 3 2 9 8 7]           support: 0
[13 12 10 8 7]                 support: 0
[13 12 11 10 8 7]              support: 0
[13 12 3 10 8 7]               support: 0
[13 12 11 3 10 8 7]            support: 0
[13 12 2 10 8 7]               support: 0
[13 12 11 2 10 8 7]            support: 0
[13 12 3 2 10 8 7]             support: 0
[13 12 11 3 2 10 8 7]          support: 0
[13 12 9 10 8 7]               support: 0
[13 12 11 9 10 8 7]            support: 0
[13 12 3 9 10 8 7]             support: 0
[13 12 11 3 9 10 8 7]          support: 0
[13 12 2 9 10 8 7]             support: 0
[13 12 11 2 9 10 8 7]          support: 0
[13 12 3 2 9 10 8 7]           support: 0
[13 12 11 3 2 9 10 8 7]        support: 0
[13 12 5]                      support: 0
[13 12 11 5]                   support: 0
[13 12 3 5]                    support: 0
[13 12 11 3 5]                 support: 0
[13 12 2 5]                    support: 0
[13 12 11 2 5]                 support: 0
[13 12 3 2 5]                  support: 0
[13 12 11 3 2 5]               support: 0
[13 12 9 5]                    support: 0
[13 12 11 9 5]                 support: 0
[13 12 3 9 5]                  support: 0
[13 12 11 3 9 5]               support: 0
[13 12 2 9 5]                  support: 0
[13 12 11 2 9 5]               support: 0
[13 12 3 2 9 5]                support: 0
[13 12 11 3 2 9 5]             support: 0
[13 12 10 5]                   support: 0
[13 12 11 10 5]                support: 0
[13 12 3 10 5]                 support: 0
[13 12 11 3 10 5]              support: 0
[13 12 2 10 5]                 support: 0
[13 12 11 2 10 5]              support: 0
[13 12 3 2 10 5]               support: 0
[13 12 11 3 2 10 5]            support: 0
[13 12 9 10 5]                 support: 0
[13 12 11 9 10 5]              support: 0
[13 12 3 9 10 5]               support: 0
[13 12 11 3 9 10 5]            support: 0
[13 12 2 9 10 5]               support: 0
[13 12 11 2 9 10 5]            support: 0
[13 12 3 2 9 10 5]             support: 0
[13 12 11 3 2 9 10 5]          support: 0
[13 12 8 5]                    support: 0
[13 12 11 8 5]                 support: 0
[13 12 3 8 5]                  support: 0
[13 12 11 3 8 5]               support: 0
[13 12 2 8 5]                  support: 0
[13 12 11 2 8 5]               support: 0
[13 12 3 2 8 5]                support: 0
[13 12 11 3 2 8 5]             support: 0
[13 12 9 8 5]                  support: 0
[13 12 11 9 8 5]               support: 0
[13 12 3 9 8 5]                support: 0
[13 12 11 3 9 8 5]             support: 0
